Latitude,Longitude,scientific_name
38.88462,-76.79458667,Solanum carolinense
35.89542238,-79.05652452,Solanum carolinense
39.55948333,-89.79323667,Solanum carolinense
35.87888718,-78.9458313,Solanum carolinense
40.06710531,-78.31979622,Solanum carolinense
43.1053953,-71.67935523,Solanum carolinense
35.90892844,-79.06674568,Solanum carolinense
41.93100153,-80.64841919,Solanum carolinense
35.934177,-76.576273,Solanum carolinense
36.02125377,-79.98049716,Solanum carolinense
38.72973594,-75.69057403,Solanum carolinense
35.93446167,-79.03201667,Solanum carolinense
35.7526046,-79.00859915,Solanum carolinense
35.4911599,-86.1032165,Solanum carolinense
37.75214712,-79.53570192,Solanum carolinense
40.82169449,-81.08718586,Solanum carolinense
37.542825,-77.513759,Solanum carolinense
39.96059167,-83.0064,Solanum carolinense
37.544747,-77.511849,Solanum carolinense
37.462513,-77.605263,Solanum carolinense
40.06725099,-78.32074127,Solanum carolinense
35.88353916,-84.30346359,Solanum carolinense
39.87124667,-88.99169167,Solanum carolinense
38.919219,-77.121181,Solanum carolinense
33.78312956,-80.63801103,Solanum carolinense
35.98441449,-83.99551,Solanum carolinense
40.411389,-88.73222,Solanum carolinense
38.983455,-77.001245,Solanum carolinense
40.06720242,-78.32006327,Solanum carolinense
35.143364,-89.831516,Solanum carolinense
41.62870627,-87.89534224,Solanum carolinense
41.639101,-88.069079,Solanum carolinense
40.495938,-74.424318,Solanum carolinense
32.12676043,-93.47743738,Solanum carolinense
40.76901976,-73.95028976,Solanum carolinense
43.051225,-75.969164,Solanum carolinense
36.42900833,-93.76433667,Solanum carolinense
38.89043002,-76.9675758,Solanum carolinense
41.38774571,-81.69544209,Solanum carolinense
36.01295971,-78.90193381,Solanum carolinense
35.10818,-81.26681,Solanum carolinense
39.31771167,-77.2809,Solanum carolinense
39.08778333,-77.12678617,Solanum carolinense
39.59444167,-89.78871167,Solanum carolinense
33.658032,-93.611698,Solanum carolinense
38.94913,-91.99260333,Solanum carolinense
41.72024306,-88.28389556,Solanum carolinense
41.72592389,-88.28618722,Solanum carolinense
41.746019,-81.027157,Solanum carolinense
36.90045645,-80.26071726,Solanum carolinense
35.90858347,-79.86782377,Solanum carolinense
41.20026909,-81.58006778,Solanum carolinense
41.259085,-88.196088,Solanum carolinense
30.62086167,-92.079215,Solanum carolinense
41.43540067,-72.9092851,Solanum carolinense
42.90944444,-73.80583333,Solanum carolinense
30.62027,-92.07941833,Solanum carolinense
36.1014055,-86.53333333,Solanum carolinense
41.91947637,-87.70078356,Solanum carolinense
41.65147907,-72.65609622,Solanum carolinense
35.76706967,-78.77402857,Solanum carolinense
34.7674047,-76.95414305,Solanum carolinense
41.49033477,-90.63510611,Solanum carolinense
37.200253,-82.343302,Solanum carolinense
42.5988166,-84.5922731,Solanum carolinense
36.9163784,-82.21970555,Solanum carolinense
40.76941969,-73.9558928,Solanum carolinense
40.76941969,-73.9558928,Solanum carolinense
39.469694,-76.999311,Solanum carolinense
36.74879,126.437399,Solanum carolinense
37.534692,-77.453281,Solanum carolinense
37.67734383,-97.94661895,Solanum carolinense
41.25731534,-88.16335201,Solanum carolinense
41.79894136,-81.15069645,Solanum carolinense
35.96835709,-78.96690369,Solanum carolinense
37.60118899,-76.85396782,Solanum carolinense
29.93038168,-95.228827,Solanum carolinense
39.60120888,-77.98140603,Solanum carolinense
42.56615,-76.25276167,Solanum carolinense
35.88353,-84.29916167,Solanum carolinense
39.03816833,-76.435295,Solanum carolinense
39.204549,-76.812935,Solanum carolinense
37.7271,-96.39910833,Solanum carolinense
36.18527,-78.555695,Solanum carolinense
41.28816192,-88.19166705,Solanum carolinense
43.80935,-85.36238833,Solanum carolinense
38.9819,-77.24089722,Solanum carolinense
35.51231937,-83.30572732,Solanum carolinense
43.115348,-73.571159,Solanum carolinense
43.115677,-73.570654,Solanum carolinense
35.883475,-84.30481167,Solanum carolinense
37.561785,-96.506102,Solanum carolinense
35.81774356,-81.18061781,Solanum carolinense
39.06102929,-78.06312198,Solanum carolinense
39.03238333,-77.59518333,Solanum carolinense
39.18706456,-76.85108312,Solanum carolinense
41.42157134,-81.95731211,Solanum carolinense
35.95634667,-83.86690333,Solanum carolinense
36.77906663,126.4706474,Solanum carolinense
35.81770833,-78.41162167,Solanum carolinense
41.20351927,-73.66220064,Solanum carolinense
38.8847,-76.79437167,Solanum carolinense
41.22271019,-73.70015174,Solanum carolinense
40.06551706,-95.26268721,Solanum carolinense
33.79346151,-86.76933231,Solanum carolinense
40.38597596,-77.35162178,Solanum carolinense
39.961125,-86.211625,Solanum carolinense
38.883079,-77.157952,Solanum carolinense
38.88166809,-77.15583038,Solanum carolinense
34.84943833,-86.70804667,Solanum carolinense
38.960318,-77.054489,Solanum carolinense
