"","Pop","Ppop_ID","Latitude","Trichomes_Garden","Trichomes_Field","SLA_Garden","SLA_Field","Conc_Garden","Conc_Field"
"234","KAN","KAN-10",41.0491084,NA,180,NA,131.145038167939,NA,0.265651242040825
"235","KAN","KAN-11",41.0491084,NA,208,NA,145.178571428571,NA,0.22399481336488
"236","KAN","KAN-12",41.0491084,NA,148,NA,138.878504672897,NA,0.246228968406251
"237","KAN","KAN-13",41.0491084,NA,184,NA,119.148936170213,NA,0.242141594402557
"238","KAN","KAN-14",41.0491084,NA,140,NA,148.365384615385,NA,0.23332910009672
"239","KAN","KAN-15",41.0491084,NA,172,NA,184.468085106383,NA,0.126999399064455
"240","KAN","KAN-17",41.0491084,NA,140,NA,179.649122807018,NA,0.146305718826583
"241","KAN","KAN-18",41.0491084,NA,144,NA,227.916666666667,NA,0.0819458308732572
"242","KAN","KAN-19",41.0491084,NA,156,NA,156.716417910448,NA,0.186106885543405
"243","KAN","KAN-2",41.0491084,NA,196,NA,122.095238095238,NA,0.213645930249144
"244","KAN","KAN-20",41.0491084,NA,248,NA,108.16091954023,NA,0.352210807821181
"245","KAN","KAN-21",41.0491084,NA,196,NA,112.837837837838,NA,0.195789033892581
"246","KAN","KAN-22",41.0491084,NA,208,NA,115.194805194805,NA,0.263361153060032
"247","KAN","KAN-23",41.0491084,NA,164,NA,136.233766233766,NA,0.23843107048431
"248","KAN","KAN-24",41.0491084,NA,184,NA,121.573033707865,NA,0.223241113193986
"249","KAN","KAN-25",41.0491084,NA,176,NA,130.990099009901,NA,0.260491294717013
"250","KAN","KAN-26",41.0491084,NA,188,NA,128.865979381443,NA,0.222110562937645
"251","KAN","KAN-27",41.0491084,NA,144,NA,128.433734939759,NA,0.261158029483573
"252","KAN","KAN-28",41.0491084,NA,196,NA,151.463414634146,NA,0.253968889391969
"253","KAN","KAN-29",41.0491084,NA,158,NA,155.2,NA,0.255157416584532
"254","KAN","KAN-3",41.0491084,NA,124,NA,145.511811023622,NA,0.249736573047719
"255","KAN","KAN-30",41.0491084,NA,164,NA,120.864197530864,NA,0.193817818061012
"256","KAN","KAN-4",41.0491084,NA,188,NA,142.5,NA,0.282000738055601
"257","KAN","KAN-5",41.0491084,NA,192,NA,159.622641509434,NA,0.209587544713562
