"Pop","Date","Time","Plant_ID","Loc","Year","L_area","L_weight","Trichomes","Conc","herb_p","Leaves","fl_m","fl_h","Height","SLA"
"I4",2022-06-15,"2022","I4 - Plant 4","Field","2022",1.66,0.0057,92,0.980634581371069,0,NA,NA,NA,20,291.228070175439
"I4",2022-06-15,"2022","I4 - Plant 5","Field","2022",2.171,0.0115,112,0.471123098321744,0,NA,NA,NA,36,188.782608695652
"I4",2022-06-15,"2022","I4 - Plant 6","Field","2022",2.14,0.0081,116,0.216179673112025,0.02,NA,NA,NA,35,264.197530864198
"I4",2022-06-15,"2022","I4 - Plant 7","Field","2022",2.941,0.0144,108,0.274214564063601,0,NA,NA,NA,25,204.236111111111
"I4",2022-06-15,"2022","I4 - Plant 8","Field","2022",2.295,0.0106,90,0.629551786033872,0,NA,NA,NA,29,216.509433962264
"I4",2022-06-15,"2022","I4 - Plant 9","Field","2022",1.004,0.045,146,0.410894471559649,0,NA,NA,NA,23,22.3111111111111
"I4",2022-06-15,"2022","I4 - Plant 10","Field","2022",2.317,0.0103,108,0.314216101425241,0,NA,NA,NA,56,224.95145631068
"N1",2022-06-17,"2022","N1 - Plant 1","Field","2022",1.215,0.0087,228,0.792889972188793,0,NA,NA,NA,30,139.655172413793
"N1",2022-06-17,"2022","N1 - Plant 2","Field","2022",1.917,0.0122,139,0.44519698563892,0.005,NA,NA,NA,22,157.131147540984
"N1",2022-06-17,"2022","N1 - Plant 3","Field","2022",1.941,0.0163,83,0.243781859469301,0,NA,NA,NA,33,119.079754601227
"N1",2022-06-17,"2022","N1 - Plant 4","Field","2022",1.179,0.0081,77,0.313647566558671,0,NA,NA,NA,32,145.555555555556
"N1",2022-06-17,"2022","N1 - Plant 5","Field","2022",1.377,0.0087,134,0.239452752649074,0.01,NA,NA,NA,39,158.275862068966
"N1",2022-06-17,"2022","N1 - Plant 6","Field","2022",1.469,0.0113,98,0.580941350523579,0,NA,NA,NA,30,130
"N1",2022-06-17,"2022","N1 - Plant 7","Field","2022",0.986,0.0065,81,0.488082066471799,0,NA,NA,NA,15,151.692307692308
"N1",2022-06-17,"2022","N1 - Plant 8","Field","2022",0.788,0.0063,128,0.387836942053025,0,NA,NA,NA,10,125.079365079365
"N1",2022-06-17,"2022","N1 - Plant 9","Field","2022",1.141,0.0075,78,0.65543101707263,0.4,NA,NA,NA,23,152.133333333333
"N1",2022-06-17,"2022","N1 - Plant 10","Field","2022",1.748,0.0182,243,0.679840312974353,0.02,NA,NA,NA,26,96.043956043956
"N1",2022-06-17,"2022","N1 - Plant 11","Field","2022",2.858,0.0251,345,0.883882986643795,0.03,NA,NA,NA,18,113.864541832669
"N2",2022-06-17,"2022","N2 - Plant 1","Field","2022",1.729,0.0065,81,0.529303623005812,0.1,NA,NA,NA,21,266
"N2",2022-06-17,"2022","N2 - Plant 2","Field","2022",2.056,0.0135,82,0.498789786867999,0.4,NA,NA,NA,34,152.296296296296
"N2",2022-06-17,"2022","N2 - Plant 3","Field","2022",1.308,0.0067,93,0.692178773182705,0.05,NA,NA,NA,36,195.223880597015
"N2",2022-06-17,"2022","N2 - Plant 4","Field","2022",4.815,0.0248,139,0.694178749026429,0.03,NA,NA,NA,35,194.153225806452
"N2",2022-06-17,"2022","N2 - Plant 5","Field","2022",3.432,0.0239,187,0.655583775234047,0.02,NA,NA,NA,28,143.598326359833
"N2",2022-06-17,"2022","N2 - Plant 6","Field","2022",1.614,0.0075,100,0.733815155765264,0.1,NA,NA,NA,30,215.2
"N2",2022-06-17,"2022","N2 - Plant 7","Field","2022",1.742,0.0094,188,1.34758332031523,0.05,NA,NA,NA,29,185.31914893617
"N2",2022-06-17,"2022","N2 - Plant 8","Field","2022",1.951,0.0101,107,0.598226721714565,0.1,NA,NA,NA,24,193.168316831683
"N2",2022-06-17,"2022","N2 - Plant 9","Field","2022",2.854,0.135,83,0.693398626033357,0.03,NA,NA,NA,18,21.1407407407407
"N2",2022-06-17,"2022","N2 - Plant 10","Field","2022",1.409,0.008,112,0.858591464126147,0.07,NA,NA,NA,24,176.125
