Well,Sample,Abs,Plate,Rep
G07,211,0.3863,2,3
H07,211,0.3909,2,4
A04,213,0.4127,2,1
B04,213,0.4338,2,2
C04,213,0.3985,2,3
D04,213,0.3849,2,4
C03,215,0.3702,2,3
D03,215,0.3817,2,4
E06,215,0.39,2,1
F06,215,0.3931,2,2
A07,217,0.4896,2,1
B07,217,0.5027,2,2
C07,217,0.4867,2,3
D07,217,0.4774,2,4
E08,218,0.4986,2,1
F08,218,0.4626,2,2
G08,218,0.4708,2,3
H08,218,0.4733,2,4
A05,219,0.4995,1,1
B05,219,0.47,1,2
C05,219,0.418,1,3
D05,219,0.4655,1,4
A08,221,0.3933,2,1
B08,221,0.4173,2,2
C08,221,0.3198,2,3
D08,221,0.3941,2,4
A09,223,0.7064,2,1
B09,223,0.6861,2,2
C09,223,0.6794,2,3
D09,223,0.6965,2,4
E06,225,0.4709,2,1
F06,225,0.4722,2,2
G06,225,0.458,2,3
H06,225,0.4466,2,4
C01,227,0.3318,2,1
D01,227,0.3489,2,2
G01,227,0.3117,2,3
H01,227,0.3479,2,4
E01,229,0.6742,1,1
F01,229,0.6204,1,2
G01,229,0.4942,1,3
H01,229,0.4849,1,4
A05,231,0.4339,2,1
B05,231,0.4049,2,2
C05,231,0.2884,2,3
D05,231,0.3655,2,4
E07,233,0.4073,2,1
F07,233,0.437,2,2
G07,233,0.4128,2,3
H07,233,0.3894,2,4
E01,235,0.416,1,1
F01,235,0.4354,1,2
G01,235,0.3884,1,3
H01,235,0.3784,1,4
A01,237,0.3121,2,1
B01,237,0.3089,2,2
G02,237,0.3186,2,3
H02,237,0.3341,2,4
A06,239,0.4879,1,1
B06,239,0.4609,1,2
C06,239,0.485,1,3
D06,239,0.4776,1,4
A07,241,0.3945,1,1
B07,241,0.3729,1,2
C07,241,0.3707,1,3
D07,241,0.3673,1,4
E02,243,0.3784,1,1
F02,243,0.3564,1,2
G02,243,0.3557,1,3
H02,243,0.3531,1,4
A08,245,0.3904,1,1
B08,245,0.3678,1,2
C08,245,0.2567,1,3
D08,245,0.3744,1,4
A01,247,0.4332,1,1
B01,247,0.4203,1,2
C01,247,0.4034,1,3
D01,247,0.4209,1,4
E03,249,0.3668,1,1
F03,249,0.3726,1,2
G03,249,0.3748,1,3
H03,249,0.3894,1,4
C02,251,0.2908,2,1
D02,251,0.3441,2,2
G03,251,0.3205,2,3
H03,251,0.3428,2,4
A02,253,0.3665,2,1
B03,253,0.354,2,2
G06,253,0.3374,2,3
H06,253,0.3498,2,4
A02,255,0.4071,2,1
B02,255,0.3621,2,2
G04,255,0.3255,2,3
H04,255,0.3309,2,4
E02,257,0.3755,1,1
F02,257,0.3525,1,2
G02,257,0.3565,1,3
H02,257,0.3443,1,4
A03,259,0.4352,2,1
