Plant_abr,Pop,Date,Plant_ID,Height,Leaves,Epitrix_herb,Chew_herb,Mining_herb,Epitrix,Spider_Mite,Leptinotarsa,Torti_Beetle,Black_weevils,Stem_dens,Spodoptera,Leafhopper,Mealybug,Trichomes,Spines,Leaf_Area,Leaf_Weight
DUDU-12,DUDU,6/12/2023,12,30,7,0,4,0,0,0,0,0,0,,0,0,0,92,12,1.857,0.0113
DUDU-13,DUDU,6/12/2023,13,38,32,0,0.1,0,0,2,0,0,0,,0,0,0,136,13,1.514,0.008
DUDU-14,DUDU,6/12/2023,14,47,30,0,0.2,0,0,0,0,0,0,,0,0,0,92,7,2.223,0.0098
DUDU-15,DUDU,6/12/2023,15,27,5,0,0,0,0,0,0,0,0,,0,0,0,132,16,1.355,0.0061
DUDU-16,DUDU,6/12/2023,16,42,18,0,0,0,0,0,0,0,0,,0,0,0,116,14,2.323,0.0186
DUDU-17,DUDU,6/12/2023,17,43,23,0,0,0,0,0,0,0,0,,0,0,0,92,11,1.812,0.0142
DUDU-18,DUDU,6/12/2023,18,23,34,0,0,0,0,0,0,0,0,,0,0,0,136,8,1.213,0.0052
DUDU-19,DUDU,6/12/2023,19,37,22,0,1,0,0,0,0,0,0,,0,0,0,80,8,1.905,0.0115
DUDU-20,DUDU,6/12/2023,20,26,11,0,4,0,0,0,0,0,0,,0,0,0,72,11,2.501,0.0089
DUDU-21,DUDU,6/12/2023,21,41,21,0,1,0,0,2,0,0,0,,0,0,0,124,11,1.59,0.0079
DUDU-22,DUDU,6/12/2023,22,30,13,0,0,0,0,1,0,0,0,,0,0,0,88,10,1.313,0.0066
DUDU-23,DUDU,6/12/2023,23,26,12,0,0,0,0,0,0,0,0,,0,0,0,100,11,0.815,0.004
DUDU-24,DUDU,6/12/2023,24,40,10,0,0,0,0,0,0,0,0,,0,0,0,112,13,1.899,0.008
SUW-1,SUW,6/14/2023,1,39,13,0,1.5,0,0,0,0,0,3,8,0,0,0,112,6,1.483,0.0059
SUW-2,SUW,6/14/2023,2,54,19,0,3,0,0,0,0,0,0,20,0,0,0,128,8,1.564,0.0061
SUW-3,SUW,6/14/2023,3,31,13,0,1,0,0,0,0,0,0,20,0,0,0,120,6,0.549,0.0017
SUW-4,SUW,6/14/2023,4,33,8,0,0,0,0,0,0,0,0,20,0,0,0,124,8,1.317,0.0044
SUW-5,SUW,6/14/2023,5,37,15,0,40,0,0,0,0,0,0,24,0,0,0,132,5,0.729,0.0028
SUW-6,SUW,6/14/2023,6,40,29,0,1,0,0,0,0,0,0,12,0,0,0,122,10,1.331,0.0061
SUW-7,SUW,6/14/2023,7,52,23,0,0,0,0,0,0,0,0,24,0,0,0,116,2,1.106,0.0043
SUW-8,SUW,6/14/2023,8,44,11,0,2,0,0,0,0,0,0,20,0,0,0,132,7,1.136,0.0056
SUW-9,SUW,6/14/2023,9,36,19,0,2,0,0,0,0,0,0,24,0,0,0,82,8,0.649,0.0029
SUW-10,SUW,6/14/2023,10,59,14,0,2,0,0,0,0,0,0,20,0,0,0,144,6,1.357,0.0044
SUW-11,SUW,6/14/2023,11,47,14,0,3,0,0,0,0,0,3,12,0,0,0,118,10,0.852,0.0031
SUW-12,SUW,6/14/2023,12,56,15,0,15,0,0,0,0,0,0,20,0,0,0,96,7,0.759,0.0026
SUW-13,SUW,6/14/2023,13,27,8,0,0,0,0,0,0,0,0,24,0,0,0,156,5,0.603,0.0035
SUW-14,SUW,6/14/2023,14,45,16,0,2,0,0,0,0,0,0,28,0,0,0,148,6,0.841,0.0035
SUW-15,SUW,6/14/2023,15,48,11,0,55,0,0,0,0,0,0,20,0,0,0,140,6,0.791,0.0039
SUW-16,SUW,6/14/2023,16,45,18,0,2,0,0,0,0,0,0,4,0,0,0,76,6,1.533,0.0059
SUW-17,SUW,6/14/2023,17,46,10,0,0,0,0,0,0,0,0,20,0,0,0,120,9,1.229,0.005
SUW-18,SUW,6/14/2023,18,38,26,0,0,0,0,0,0,0,0,12,0,0,0,48,6,1.17,0.0042
SUW-19,SUW,6/14/2023,19,47,13,0,0,0,0,0,0,0,0,28,0,0,0,108,4,1.528,0.007
SUW-20,SUW,6/14/2023,20,50,16,0,0,0,0,0,0,0,0,12,0,0,0,112,3,0.847,0.0021
SHE-1,SHE,6/29/2023,1,25,9,15,10,0,0,0,0,0,0,4,0,0,0,128,8,2.12,0.0128
SHE-2,SHE,6/29/2023,2,13,6,15,10,0,0,0,0,0,0,4,0,0,0,116,2,0.703,0.0045
SHE-3,SHE,6/29/2023,3,15,7,9,6,0,0,0,0,0,1,4,0,0,0,148,5,0.683,0.0036
SHE-4,SHE,6/29/2023,4,17,8,3,1,0,0,0,0,0,0,8,0,0,0,152,8,1.425,0.0073
SHE-5,SHE,6/29/2023,5,17,6,7,12,0,1,0,0,0,0,20,0,0,0,104,1,1.207,0.0065
SHE-6,SHE,6/29/2023,6,26,9,13,8,0,0,0,0,1,2,12,0,0,0,172,8,1.184,0.0071
SHE-7,SHE,6/29/2023,7,18,8,10,0,0,0,0,0,0,0,4,0,0,0,176,7,1.015,0.0062
SHE-8,SHE,6/29/2023,8,29,8,21,7,0,2,0,0,0,0,4,0,0,0,184,11,0.957,0.0056
SHE-9,SHE,6/29/2023,9,20,3,10,0,0,0,0,0,0,0,12,0,0,0,204,11,1.655,0.007
SHE-10,SHE,6/29/2023,10,36,6,10,1,0,1,0,0,0,0,4,0,0,0,180,6,1.459,0.0084
SHE-11,SHE,6/29/2023,11,18,12,8,1,0,4,0,0,0,0,8,0,0,0,156,7,1.135,0.0064
SHE-12,SHE,6/29/2023,12,19,8,12,9,0,0,0,0,1,0,4,0,0,0,212,4,0.705,0.0042
SHE-13,SHE,6/29/2023,13,32,6,8,0,0,0,0,0,1,0,4,0,0,0,244,9,1.198,0.0068
SHE-14,SHE,6/29/2023,14,17,4,8,2,0,0,0,0,0,0,4,0,0,0,104,4,0.788,0.0043
SHE-15,SHE,6/29/2023,15,33,5,4,6,0,0,0,0,0,0,4,0,0,0,188,6,0.719,0.0041
SHE-16,SHE,6/29/2023,16,24,5,12,0,0,0,0,0,0,0,4,0,0,0,132,6,0.619,0.0023
SHE-17,SHE,6/29/2023,17,38,4,2,1,0,2,0,0,0,0,4,0,0,0,212,10,1.196,0.0077
SHE-18,SHE,6/29/2023,18,17,6,10,6,0,0,0,0,0,0,4,0,0,0,108,6,1.593,0.0054
SHE-19,SHE,6/29/2023,19,41,5,8,15,0,0,0,0,0,5,4,0,0,0,100,13,0.868,0.0033
SHE-20,SHE,6/29/2023,20,32,3,4,1,0,0,0,0,0,0,4,0,0,0,100,10,1.682,0.0067
SHE-21,SHE,6/29/2023,21,38,5,8,4,0,0,0,0,0,0,12,0,0,0,116,7,0.865,0.0049
SHE-22,SHE,6/29/2023,22,47,5,3,10,0,0,0,0,0,0,4,0,0,0,140,9,0.973,0.005
SHE-23,SHE,6/29/2023,23,53,6,10,14,0,1,0,0,0,0,4,0,0,0,148,10,0.872,0.0058
SHE-24,SHE,6/29/2023,24,46,6,10,20,0,0,0,0,0,0,4,0,0,0,132,8,1.049,0.0052
SHE-25,SHE,6/29/2023,25,23,4,11,1,0,1,0,0,0,0,16,0,0,0,128,3,0.568,0.002
SHE-26,SHE,6/29/2023,26,19,5,14,1,0,0,0,0,0,0,4,0,0,0,184,7,0.969,0.0045
SHE-27,SHE,6/29/2023,27,26,4,15,1,0,0,0,0,0,0,4,0,0,0,196,9,1.029,0.0066
SHE-28,SHE,6/29/2023,28,30,8,3,4,0,0,0,0,0,0,4,0,0,0,164,2,0.978,0.0046
SHE-29,SHE,6/29/2023,29,24,7,5,12,0,1,0,0,0,0,4,0,0,0,172,5,0.917,0.0054
SHE-30,SHE,6/29/2023,30,50,4,6,11,0,0,0,0,0,0,4,0,0,0,112,8,1.75,0.007
KAN-1,KAN,6/27/2023,1,25,5,0.1,8,0,0,0,0,0,0,8,0,0,0,228,,0.846,0.0073
KAN-2,KAN,6/27/2023,2,17,5,0.1,0,0,0,0,0,0,0,8,0,0,0,196,10,1.282,0.0105
KAN-3,KAN,6/27/2023,3,21,4,0,6,0,0,0,0,0,0,4,0,0,0,124,3,1.848,0.0127
KAN-4,KAN,6/27/2023,4,16,5,0,1,0,0,0,0,0,0,12,0,0,0,188,6,0.513,0.0036
KAN-5,KAN,6/27/2023,5,25,6,0,0,0,0,0,0,0,0,4,0,0,0,192,3,0.846,0.0053
KAN-6,KAN,6/27/2023,6,22,6,0,0.1,0,0,0,0,0,0,4,0,0,0,204,5,0.99,0.0079
KAN-7,KAN,6/27/2023,7,26,6,1,0.5,0,0,0,0,1,0,12,0,0,0,152,7,1.792,0.0129
KAN-8,KAN,6/27/2023,8,15,6,0,0,0,0,0,0,0,0,16,0,0,0,248,19,0.928,0.0077
KAN-9,KAN,6/27/2023,9,27,6,0,3,0,0,0,0,0,0,12,0,0,0,308,13,1.341,0.0105
KAN-10,KAN,6/27/2023,10,17,4,0,25,0,0,0,0,0,0,8,0,0,0,180,15,1.718,0.0131
KAN-11,KAN,6/27/2023,11,19,4,0,20,0,0,0,0,0,0,16,0,0,0,208,4,0.813,0.0056
KAN-12,KAN,6/27/2023,12,34,7,0,0,0,0,0,0,0,0,4,0,0,0,148,7,1.486,0.0107
KAN-13,KAN,6/27/2023,13,21,8,0,1,0,0,0,0,0,0,4,0,0,0,184,15,1.12,0.0094
KAN-14,KAN,6/27/2023,14,25,6,0,0,0,0,0,0,0,0,12,0,0,0,140,10,1.543,0.0104
KAN-15,KAN,6/27/2023,15,15,5,0,1,0,0,0,0,0,0,8,0,0,0,172,12,0.867,0.0047
KAN-16,KAN,6/27/2023,16,18,6,0,0,0,0,0,0,0,0,4,0,0,0,,,,
KAN-17,KAN,6/27/2023,17,15,7,0,13,0,0,0,0,0,0,20,0,0,0,140,18,1.024,0.0057
