Plant_abr,Pop,Date,Plant_ID,Height,Leaves,Epitrix_herb,Chew_herb,Mining_herb,Epitrix,Spider_Mite,Leptinotarsa,Torti_Beetle,Black_weevils,Stem_dens,Spodoptera,Leafhopper,Mealybug,Trichomes,Spines,Leaf_Area,Leaf_Weight
PLA-4,PLA,6/26/2023,4,39,6,15,25,0,0,0,0,0,1,8,0,0,0,168,14,1.412,0.0084
PLA-5,PLA,6/26/2023,5,49,7,9,0.5,0,1,0,0,0,0,12,0,0,0,152,6,1.482,0.01
PLA-6,PLA,6/26/2023,6,27,6,7,0,0,2,0,0,0,0,24,0,0,0,112,4,1.099,0.0065
PLA-7,PLA,6/26/2023,7,29,8,25,2,0,0,0,0,0,0,4,0,0,0,154,13,0.887,0.0059
PLA-8,PLA,6/26/2023,8,32,6,2,5,0,0,0,0,0,0,12,0,0,0,188,9,1.148,0.0074
PLA-9,PLA,6/26/2023,9,42,5,0,5,0,0,0,0,0,0,20,0,0,0,152,7,1.041,0.0057
PLA-10,PLA,6/26/2023,10,41,9,2,4,0,0,0,0,0,0,8,0,0,0,144,9,0.839,0.0048
PLA-11,PLA,6/26/2023,11,40,6,13,0,0,0,0,0,0,0,16,0,0,0,164,14,0.897,0.0046
PLA-12,PLA,6/26/2023,12,21,7,5,5,0,0,0,0,0,0,8,0,0,0,48,9,0.649,0.0032
PLA-13,PLA,6/26/2023,13,34,9,0.5,0,0,0,0,0,0,1,20,0,0,0,124,15,1.168,0.0056
PLA-14,PLA,6/26/2023,14,27,6,0,0,0,0,0,0,0,0,8,0,0,0,116,16,1.059,0.0066
PLA-15,PLA,6/26/2023,15,54,6,7,0,0,1,0,0,0,1,28,0,0,0,148,8,1.378,0.0083
PLA-16,PLA,6/26/2023,16,45,6,7,1,0,0,0,0,0,0,4,0,0,0,168,13,1.789,0.0116
PLA-17,PLA,6/26/2023,17,27,3,0.1,0,0,0,0,0,0,0,4,0,0,0,96,5,1.084,0.0046
PLA-18,PLA,6/26/2023,18,41,7,2,4,0,0,0,0,0,0,8,0,0,0,124,12,1.23,0.0082
PLA-19,PLA,6/26/2023,19,37,5,6,0,0,0,0,0,0,0,16,0,0,0,136,17,1.391,0.0093
PLA-20,PLA,6/26/2023,20,40,5,11,0,0,0,0,0,0,0,4,0,0,0,148,14,1.128,0.0066
PLA-21,PLA,6/26/2023,21,36,4,10,10,0,0,0,0,0,0,8,0,0,0,72,9,0.966,0.0071
PLA-22,PLA,6/26/2023,22,47,7,10,0,0,0,0,0,0,0,12,0,0,0,132,8,1.162,0.0078
PLA-23,PLA,6/26/2023,23,33,5,1,0.5,0,0,0,0,0,1,4,0,0,0,104,11,1.06,0.0072
PLA-24,PLA,6/26/2023,24,35,6,10,1,0,0,0,0,0,0,12,0,0,0,144,8,1.157,0.0073
PLA-25,PLA,6/26/2023,25,37,6,20,0,0,0,0,0,0,0,8,0,0,0,112,10,0.879,0.0061
PLA-26,PLA,6/26/2023,26,33,6,4,1,0,0,0,0,0,0,4,0,0,0,132,15,1.448,0.009
PLA-27,PLA,6/26/2023,27,41,8,12,0,0,0,0,0,0,0,16,0,0,0,148,10,1.253,0.0092
PLA-28,PLA,6/26/2023,28,52,6,14,0,0,0,0,0,0,0,20,0,0,0,140,12,1.13,0.0073
PLA-29,PLA,6/26/2023,29,41,5,10,6,0,0,0,0,0,0,8,0,1,0,134,10,1.506,0.0097
PLA-30,PLA,6/26/2023,30,40,6,10,5,0,0,0,0,0,0,24,0,0,0,96,7,1.189,0.0061
BEC-1,BEC,6/25/2023,1,43,4,0,10,0,0,0,0,0,0,4,0,0,0,144,18,0.774,0.0045
BEC-2,BEC,6/25/2023,2,36,6,20,9,0,1,0,0,0,0,8,0,0,0,224,4,1.364,0.009
BEC-3,BEC,6/25/2023,3,31,4,2,0.3,0,0,0,0,0,0,12,0,0,0,172,4,1.182,0.0071
BEC-4,BEC,6/25/2023,4,82,6,2,1,0,1,0,0,0,0,4,0,0,0,156,6,1.133,0.0066
BEC-5,BEC,6/25/2023,5,29,6,30,20,0,0,0,0,0,0,4,0,0,0,164,11,0.748,0.0046
BEC-6,BEC,6/25/2023,6,44,6,20,0.5,0,0,0,0,0,1,8,0,0,0,188,5,1.076,0.0071
BEC-7,BEC,6/25/2023,7,31,7,5,3,0,0,0,0,0,0,4,0,0,0,192,12,0.749,0.0048
BEC-8,BEC,6/25/2023,8,40,5,4,2,0,0,0,0,0,0,12,0,0,0,208,12,0.846,0.0062
BEC-9,BEC,6/25/2023,9,46,8,4,0,0,1,0,0,0,0,12,0,0,0,204,5,0.82,0.0062
BEC-10,BEC,6/25/2023,10,42,7,5,1,0,0,0,0,0,0,4,0,0,0,176,5,0.778,0.0055
BEC-11,BEC,6/25/2023,11,46,6,4,10,0,4,0,0,0,0,12,0,0,0,152,9,1.2,0.0055
BEC-12,BEC,6/25/2023,12,51,7,5,20,0,0,0,0,0,2,4,0,0,0,194,7,0.712,0.004
BEC-13,BEC,6/25/2023,13,39,6,3,0,0,0,0,0,0,1,4,0,0,0,200,10,0.947,0.0059
BEC-14,BEC,6/25/2023,14,45,8,13,30,0,0,0,0,0,0,4,0,0,0,168,7,0.717,0.0033
BEC-15,BEC,6/25/2023,15,29,3,0,30,0,0,0,0,0,0,4,0,0,0,152,13,0.654,0.0029
BEC-16,BEC,6/25/2023,16,57,6,0,15,0,0,0,0,0,1,4,0,0,0,176,10,1.591,0.0112
BEC-17,BEC,6/25/2023,17,37,4,0,30,0,0,0,0,0,0,4,0,0,0,144,2,0.75,0.0035
BEC-18,BEC,6/25/2023,18,42,8,9,10,0,0,0,0,0,0,8,0,0,0,136,9,1.322,0.0084
BEC-19,BEC,6/25/2023,19,40,5,0,12,0,0,0,0,0,0,4,0,0,0,96,5,0.606,0.0026
BEC-20,BEC,6/25/2023,20,54,6,12,14,0,0,0,0,0,0,4,0,0,0,124,10,1.421,0.0088
BEC-21,BEC,6/25/2023,21,56,7,10,5,0,1,0,0,0,0,8,0,0,0,140,12,1.083,0.008
BEC-22,BEC,6/25/2023,22,46,4,4,10,0,0,0,0,0,0,4,0,0,0,148,9,1.929,0.0099
BEC-23,BEC,6/25/2023,23,41,7,11,6,0,1,0,0,0,0,12,0,0,0,192,5,0.531,0.0029
BEC-24,BEC,6/25/2023,24,35,5,9,10,0,0,0,0,0,0,12,0,0,0,176,6,0.778,0.0059
BEC-25,BEC,6/25/2023,25,40,7,12,2,0,0,0,0,0,0,20,0,0,0,128,2,0.798,0.0058
BEC-26,BEC,6/25/2023,26,38,6,20,3,0,0,0,0,0,0,8,0,0,0,72,7,0.69,0.005
BEC-27,BEC,6/25/2023,27,31,7,18,12,0,0,0,0,0,0,4,0,0,0,152,3,1.106,0.0067
BEC-28,BEC,6/25/2023,28,34,12,8,10,0,2,0,0,0,0,12,0,0,0,172,2,0.924,0.0054
BEC-29,BEC,6/25/2023,29,27,4,5,10,0,0,0,0,0,0,12,0,0,0,112,5,1.215,0.0066
BEC-30,BEC,6/25/2023,30,38,9,20,16,0,4,0,0,0,0,8,0,0,0,124,5,1.537,0.0088
REF-1,REF,6/23/2023,1,52,31,0,0.1,0,0,0,0,0,0,8,0,0,3,72,9,3.514,0.0098
REF-2,REF,6/23/2023,2,37,7,0,2,0,0,0,0,0,0,8,0,0,0,68,11,1.974,0.0052
REF-3,REF,6/23/2023,3,42,5,0,8,0,0,0,0,0,0,4,0,0,0,60,7,2.478,0.0096
REF-4,REF,6/23/2023,4,62,10,0,5,0,0,0,0,0,0,8,0,0,1,82,7,2.411,0.0078
REF-5,REF,6/23/2023,5,46,15,0,2,0,0,0,0,0,0,24,0,0,0,88,9,1.748,0.0061
REF-6,REF,6/23/2023,6,47,10,0,2,0,0,0,0,0,0,4,0,0,0,52,9,2.173,0.0081
REF-7,REF,6/23/2023,7,40,13,0,12,0,0,0,0,0,0,8,0,0,0,68,7,1.152,0.0038
REF-8,REF,6/23/2023,8,36,13,0,3,0,0,0,0,0,0,16,0,0,0,188,7,1.883,0.0067
REF-9,REF,6/23/2023,9,39,6,0,6.5,0,0,0,0,0,0,4,0,0,0,64,8,2.537,0.007
REF-10,REF,6/23/2023,10,67,11,0,10,0,0,0,0,0,0,8,0,0,0,96,9,1.99,0.007
REF-11,REF,6/23/2023,11,34,8,0.1,1.5,0,0,0,0,0,0,28,0,0,1,116,9,2.353,0.009
REF-12,REF,6/23/2023,12,52,5,0.1,1,0,0,0,0,0,0,16,0,0,0,144,5,1.321,0.0051
REF-13,REF,6/23/2023,13,66,15,0.1,2,0,0,0,0,0,0,8,0,0,0,116,7,2.01,0.0072
REF-14,REF,6/23/2023,14,35,13,0.5,5,0,0,0,0,0,0,12,0,0,0,108,5,1.275,0.0045
REF-15,REF,6/23/2023,15,51,6,1,4,0,0,0,0,0,0,12,0,0,0,128,6,1.557,0.0065
REF-16,REF,6/23/2023,16,70,7,0,1,0,0,0,0,0,0,8,0,0,0,132,6,1.768,0.0069
REF-17,REF,6/23/2023,17,55,9,0,9,0,0,0,0,0,0,8,0,0,0,108,8,1.788,0.0065
REF-18,REF,6/23/2023,18,62,14,0,5,0,0,0,0,0,0,8,0,0,1,116,4,1.289,0.005
REF-19,REF,6/23/2023,19,45,9,0,5,0,0,0,0,0,0,16,0,0,0,124,9,2.89,0.0115
REF-20,REF,6/23/2023,20,53,11,0.1,2,0,0,0,0,0,0,12,0,0,1,144,5,2.081,0.0074
REF-21,REF,6/23/2023,21,54,10,0.2,4,0,0,0,0,0,0,12,0,0,0,172,7,1.301,0.0041
REF-22,REF,6/23/2023,22,30,6,0,9,0,0,0,0,0,0,16,0,0,0,108,5,1.132,0.0028
REF-23,REF,6/23/2023,23,44,8,0,18,0,0,0,0,0,0,8,0,0,0,144,8,2.163,0.0089
REF-24,REF,6/23/2023,24,39,10,0,0,0,0,0,0,0,0,8,0,0,0,192,5,1.182,0.004
REF-25,REF,6/23/2023,25,40,8,0,5,0,0,0,0,0,0,4,0,0,0,116,6,1.749,0.0062
REF-26,REF,6/23/2023,26,45,7,0,4,0,0,0,0,0,0,8,0,0,1,112,9,1.359,0.0049
REF-27,REF,6/23/2023,27,63,8,0,3,0,0,0,0,0,0,4,0,0,0,120,6,2.237,0.0073
REF-28,REF,6/23/2023,28,23,12,0,10,0,0,0,0,0,1,12,0,0,0,144,7,2.102,0.0077
REF-29,REF,6/23/2023,29,60,16,0,5,0,0,0,0,0,0,4,0,0,0,132,5,1.763,0.0066
REF-30,REF,6/23/2023,30,43,17,0,8,0,0,0,0,0,0,8,0,0,0,148,6,2.785,0.0107
GRE-1,GRE,6/22/2023,1,47,8,8,40,0,0,0,0,0,0,12,0,0,0,96,6,1.424,0.0064
GRE-2,GRE,6/22/2023,2,40,5,3,10,0,1,0,0,0,0,16,0,0,0,156,6,1.076,0.0041
GRE-3,GRE,6/22/2023,3,60,10,18,16,0,0,0,0,0,0,16,0,0,0,152,4,1.271,0.0064
GRE-4,GRE,6/22/2023,4,44,7,24,6,0,0,0,0,0,2,4,0,0,0,128,10,0.516,0.0023
GRE-5,GRE,6/22/2023,5,57,7,20,3,0,3,0,2,0,0,4,0,0,0,76,8,1.206,0.0053
GRE-6,GRE,6/22/2023,6,56,9,32,8,0,4,0,0,0,0,8,0,0,0,132,6,0.737,0.0037
GRE-7,GRE,6/22/2023,7,51,8,18,1,0,1,0,0,0,0,8,0,0,0,76,5,0.798,0.0039
GRE-8,GRE,6/22/2023,8,57,9,27,14,0,3,0,0,0,1,4,0,0,0,100,0,0.742,0.0038
GRE-9,GRE,6/22/2023,9,54,6,13,3,0,1,0,0,0,0,8,0,0,0,136,1,1.448,0.0064
GRE-10,GRE,6/22/2023,10,61,5,9,4,0,0,0,0,0,0,10,0,0,0,144,4,0.593,0.0022
GRE-11,GRE,6/22/2023,11,57,10,10,14,0,2,0,0,0,0,16,0,0,0,108,6,1.132,0.0089
GRE-12,GRE,6/22/2023,12,66,8,9,20,0,0,0,0,0,0,8,0,0,0,128,6,0.72,0.004
GRE-13,GRE,6/22/2023,13,33,12,4,20,0,1,0,0,0,0,8,0,0,0,124,4,0.636,0.0031
GRE-14,GRE,6/22/2023,14,20,6,6,10,0,0,0,0,0,0,8,0,0,0,104,1,0.651,0.0024
GRE-15,GRE,6/22/2023,15,31,5,11,2,0,4,0,0,0,0,4,0,0,0,148,5,1.264,0.0059
GRE-16,GRE,6/22/2023,16,35,4,14,8,0,0,0,0,0,0,4,0,0,0,132,5,1.024,0.0054
GRE-17,GRE,6/22/2023,17,47,9,15,20,0,0,0,0,0,0,4,0,0,0,112,7,1.012,0.0053
GRE-18,GRE,6/22/2023,18,31,7,7,9,0,0,0,0,0,0,8,0,0,0,168,8,0.802,0.0041
GRE-19,GRE,6/22/2023,19,45,9,10,21,0,0,0,0,0,0,8,0,0,0,120,5,1.277,0.0078
GRE-20,GRE,6/22/2023,20,56,7,13,18,0,3,0,0,0,0,4,0,0,0,88,4,1.113,0.0049
GRE-21,GRE,6/22/2023,21,34,7,9,1,0,1,0,0,0,0,8,0,0,0,84,5,1.952,0.0069
GRE-22,GRE,6/22/2023,22,34,7,10,4,0,0,0,0,0,0,4,0,0,0,104,7,1.061,0.0058
GRE-23,GRE,6/22/2023,23,50,16,4,8,0,4,0,0,0,0,4,0,0,0,96,7,0.904,0.0043
GRE-24,GRE,6/22/2023,24,41,10,9,12,0,2,0,0,0,0,4,0,0,0,192,9,1.192,0.007
GRE-25,GRE,6/22/2023,25,26,7,12,6,0,0,0,0,0,0,4,0,0,0,124,9,1.05,0.0054
GRE-26,GRE,6/22/2023,26,41,7,12,10,0,1,0,0,0,0,4,0,0,0,112,3,1.201,0.0063
GRE-27,GRE,6/22/2023,27,42,4,10,20,0,1,0,0,0,0,4,0,0,0,132,7,0.774,0.0033
GRE-28,GRE,6/22/2023,28,22,6,10,9,0,0,0,0,0,0,4,0,0,0,88,4,0.798,0.0033
GRE-29,GRE,6/22/2023,29,50,8,11,10,0,0,0,0,0,0,4,0,0,0,76,8,1.465,0.0065
GRE-30,GRE,6/22/2023,30,42,6,6,18,0,0,0,0,0,0,4,0,0,,204,5,0.686,0.0036
