"","Pop","Year","image_date","NPP_g"
"297","BR",2015,2015-07-28,0.0303384615384615
"298","BR",2016,2016-05-08,0.01955
"299","BR",2016,2016-05-16,0.0275909090909091
"300","BR",2016,2016-05-24,0.0249
"301","BR",2016,2016-06-01,0.01005
"302","BR",2016,2016-06-09,0.0156
"303","BR",2016,2016-06-17,0.0177666666666667
"304","BR",2016,2016-06-25,0.0107666666666667
"305","BR",2016,2016-07-11,0.00382857142857143
"306","BR",2016,2016-07-19,0.0072125
"307","BR",2016,2016-07-27,-0.0013625
"308","BR",2017,2017-05-01,0.0306111111111111
"309","BR",2017,2017-05-09,0.0216222222222222
"310","BR",2017,2017-05-17,0.0203
"311","BR",2017,2017-05-25,0.0174611111111111
"312","BR",2017,2017-06-02,0.0213363636363636
"313","BR",2017,2017-06-18,0.0325833333333333
"314","BR",2017,2017-06-26,0.01875
"315","BR",2017,2017-07-04,0.0164
"316","BR",2017,2017-07-12,0.0239
"317","BR",2017,2017-07-20,0.0188142857142857
"318","BR",2018,2018-05-01,0.0454375
"319","BR",2018,2018-05-09,0.0168
"320","BR",2018,2018-05-17,0.0187272727272727
"321","BR",2018,2018-06-02,0.0285555555555556
"322","BR",2018,2018-06-10,0.0302555555555556
"323","BR",2018,2018-06-18,0.022425
"324","BR",2018,2018-06-26,0.0204666666666667
"325","BR",2018,2018-07-04,0.0335833333333333
"326","BR",2018,2018-07-12,0.00922857142857143
"327","BR",2018,2018-07-20,0.02895
"328","BR",2018,2018-07-28,0.02752
"329","BR",2019,2019-05-01,0.02715
"330","BR",2019,2019-05-09,0.0339571428571429
"331","BR",2019,2019-05-25,-0.00452222222222222
"332","BR",2019,2019-06-02,0.0041
"333","BR",2019,2019-06-10,0.0244
"334","BR",2019,2019-06-18,0.00693
"335","BR",2019,2019-06-26,0.00525
"336","BR",2019,2019-07-20,0.0153083333333333
"337","BR",2019,2019-07-28,0.0231
"338","BR",2020,2020-05-08,0.04258
"339","BR",2020,2020-05-16,0.0238571428571429
"340","BR",2020,2020-05-24,0.021825
"341","BR",2020,2020-06-09,0.0415222222222222
"342","BR",2020,2020-06-25,0.01443125
"343","BR",2020,2020-07-03,0.025925
"344","BR",2020,2020-07-11,0.0206
"345","BR",2020,2020-07-19,0.02
"346","BR",2020,2020-07-27,0.0228
"347","BR",2021,2021-05-01,0.03288
"348","BR",2021,2021-05-09,0.0335
"349","BR",2021,2021-05-17,0.0417333333333333
"350","BR",2021,2021-05-25,0.0202777777777778
"351","BR",2021,2021-06-02,0.0275833333333333
"352","BR",2021,2021-06-10,0.0178875
"353","BR",2021,2021-06-18,0.0160125
"354","BR",2021,2021-06-26,0.0281333333333333
"355","BR",2021,2021-07-04,0.00831666666666667
"356","BR",2021,2021-07-20,0.02877
"357","BR",2021,2021-07-28,0.020875
"358","BR",2022,2022-05-01,0.0286444444444444
"359","BR",2022,2022-05-09,0.0383857142857143
"360","BR",2022,2022-05-17,0.0191428571428571
"361","BR",2022,2022-05-25,0.0265111111111111
"362","BR",2022,2022-06-02,0.0294083333333333
"363","BR",2022,2022-06-10,0.0224166666666667
"364","BR",2022,2022-06-18,0.0348181818181818
"365","BR",2022,2022-06-26,0.0323
"366","BR",2022,2022-07-12,0.0205
"367","BR",2022,2022-07-20,0.0201444444444444
"368","BR",2022,2022-07-28,0.0177666666666667
"369","BR",2023,2023-05-09,0.0317
"370","BR",2023,2023-05-25,0.0278
"371","BR",2023,2023-06-02,0.038975
"372","BR",2023,2023-06-10,0.0366272727272727
"373","BR",2023,2023-06-18,0.0315666666666667
"374","BR",2023,2023-06-26,0.0398
"375","BR",2023,2023-07-04,0.0165
"376","BR",2023,2023-07-12,0.0328333333333333
"377","BR",2023,2023-07-20,0.0265
"378","BR",2023,2023-07-28,0.04446
"379","BR",2024,2024-05-08,0.0224111111111111
"380","BR",2024,2024-05-16,0.0317111111111111
"381","BR",2024,2024-05-24,0.02035
"382","BR",2024,2024-06-09,0.0216272727272727
"383","BR",2024,2024-06-17,0.0274222222222222
