Pop,Date,Time,Plant_ID,Loc,Year,L_area,L_weight,Trichomes,Conc,herb_p,Leaves,Height,SLA
N5,6/17/2022,2022,N5 - Plant 7,Field,2022,1.131,0.0106,289,1.115923878,0,NA,16,106.6981132
N5,6/17/2022,2022,N5 - Plant 8,Field,2022,1.447,0.0137,137,1.205326657,0,NA,18,105.620438
N5,6/17/2022,2022,N5 - Plant 9,Field,2022,2.549,0.0178,201,0.506015445,0.02,NA,39,143.2022472
N5,6/17/2022,2022,N5 - Plant 10,Field,2022,1.279,0.0078,178,0.153180845,0.03,NA,30,163.974359
N5,6/17/2022,2022,N5 - Plant 11,Field,2022,2.112,0.0081,107,0.526696238,0.03,NA,32,260.7407407
N6,6/17/2022,2022,N6 - Plant 1,Field,2022,0.987,0.0066,323,0.373249221,0.02,NA,20,149.5454545
N6,6/17/2022,2022,N6 - Plant 2,Field,2022,1.29,0.0072,190,0.339835979,0,NA,37,179.1666667
N6,6/17/2022,2022,N6 - Plant 3,Field,2022,1.611,0.0113,276,0.514930412,0,NA,40,142.5663717
N6,6/17/2022,2022,N6 - Plant 4,Field,2022,1.246,0.0092,415,0.451650426,0,NA,22,135.4347826
N6,6/17/2022,2022,N6 - Plant 5,Field,2022,1.297,0.0055,174,0.142616649,0.01,NA,26,235.8181818
N6,6/17/2022,2022,N6 - Plant 6,Field,2022,1.653,0.011,251,0.245207679,0,NA,24,150.2727273
N6,6/17/2022,2022,N6 - Plant 7,Field,2022,1.518,0.0074,126,0.377306853,0.03,NA,41,205.1351351
N6,6/17/2022,2022,N6 - Plant 8,Field,2022,1.807,0.009,171,0.46530717,0,NA,44,200.7777778
N8,6/17/2022,2022,N8 - Plant 1,Field,2022,2.422,0.0161,98,0.288373927,0.01,NA,37,150.4347826
N8,6/17/2022,2022,N8 - Plant 2,Field,2022,2.795,0.0204,96,0.234887359,0,NA,35,137.0098039
N8,6/17/2022,2022,N8 - Plant 3,Field,2022,2.534,0.0225,306,0.2139887,0.05,NA,38,112.6222222
N8,6/17/2022,2022,N8 - Plant 4,Field,2022,2.547,0.0182,118,0.227808529,0.02,NA,24,139.9450549
N8,6/17/2022,2022,N8 - Plant 5,Field,2022,5.262,0.043,78,0.330368825,0.03,NA,26,122.372093
N8,6/17/2022,2022,N8 - Plant 6,Field,2022,3.686,0.0317,126,0.596840499,0.01,NA,34,116.2776025
N8,6/17/2022,2022,N8 - Plant 7,Field,2022,2.794,0.0217,94,0.379898433,0,NA,27,128.7557604
N8,6/17/2022,2022,N8 - Plant 8,Field,2022,1.637,0.0134,124,0.382478509,0,NA,25,122.1641791
N8,6/17/2022,2022,N8 - Plant 9,Field,2022,1.67,0.0116,122,0.529686514,0,NA,24,143.9655172
N8,6/17/2022,2022,N8 - Plant 10,Field,2022,1.677,0.0159,158,0.217438893,0,NA,24,105.4716981
N9,8/12/2022,2022,UWM-1,Field,2022,1.795,0.0157,104,0.309407073,0.02,NA,31,114.3312102
N9,8/12/2022,2022,UWM-2,Field,2022,1.185,0.0104,100,0.450247281,0.01,NA,47,113.9423077
N9,8/12/2022,2022,UWM-3,Field,2022,1.309,0.012,116,0.691191391,0.02,NA,33,109.0833333
N9,8/12/2022,2022,UWM-4,Field,2022,2.519,0.0181,76,0.556048429,0.04,NA,30,139.1712707
N9,8/12/2022,2022,UWM-5,Field,2022,1.877,0.0145,84,0.684664523,0.02,NA,31,129.4482759
N9,8/12/2022,2022,UWM-6,Field,2022,2.036,0.0147,72,0.814384368,0,NA,30,138.5034014
N10,8/12/2022,2022,Kettle-2,Field,2022,1.2,0.0062,60,0.708832591,0,NA,20,193.5483871
N10,8/12/2022,2022,Kettle-3,Field,2022,1.21,0.0064,44,0.69385294,0,NA,30,189.0625
N10,8/12/2022,2022,Kettle-4,Field,2022,1.07,0.0074,68,0.883179006,0,NA,28,144.5945946
N10,8/12/2022,2022,Kettle-5,Field,2022,1.45,0.0111,96,0.447547434,0,NA,31,130.6306306
N10,8/12/2022,2022,Kettle-6,Field,2022,1.145,0.0049,56,0.286001078,0,NA,26,233.6734694
N7,6/17/2022,2022,N7A - Plant 1,Field,2022,2.24,0.0153,295,0.499939464,0,NA,53,146.4052288
N7,6/17/2022,2022,N7A - Plant 2,Field,2022,2.061,0.0157,247,0.300196125,0,NA,20,131.2738854
N7,6/17/2022,2022,N7A - Plant 3,Field,2022,2.497,0.0128,139,0.489193752,0,NA,32,195.078125
N7,6/17/2022,2022,N7A - Plant 4,Field,2022,1.475,0.0095,395,0.914479354,0,NA,29,155.2631579
N7,6/17/2022,2022,N7A - Plant 5,Field,2022,2.296,0.0182,250,0.899756474,0,NA,25,126.1538462
N7,6/17/2022,2022,N7A - Plant 6,Field,2022,3.502,0.0171,94,0.59920955,0.02,NA,57,204.7953216
N7,6/17/2022,2022,N7A - Plant 7,Field,2022,1.92,0.0156,242,0.385562143,0,NA,38,123.0769231
N7,6/17/2022,2022,N7A - Plant 8,Field,2022,2.64,0.0174,226,0.631330547,0,NA,25,151.7241379
N7,6/17/2022,2022,N7A - Plant 9,Field,2022,2.461,0.022,455,0.07858366,0,NA,33,111.8636364
N7,6/17/2022,2022,N7A - Plant 10,Field,2022,2.213,0.0179,398,0.312108972,0,NA,32,123.6312849
N7,6/17/2022,2022,N7A - Plant 11,Field,2022,1.397,0.0089,160,0.210189864,0,NA,24,156.9662921
N7,8/10/2022,2022,Deer-Run-1,Field,2022,3.104,0.0248,100,0.337856609,0.01,NA,46,125.1612903
N7,8/10/2022,2022,Deer-Run-2,Field,2022,1.247,0.0089,116,0.398998158,0.06,NA,44,140.1123596
N7,8/10/2022,2022,Deer-Run-3,Field,2022,1.602,0.0147,188,0.122353809,0.05,NA,55,108.9795918
N7,8/10/2022,2022,Deer-Run-5,Field,2022,1.582,0.0136,116,0.148966071,0.02,NA,53,116.3235294
N7,8/10/2022,2022,Deer-Run-6,Field,2022,1.187,0.012,144,0.461175084,0.03,NA,37,98.91666667
DUDU,6/6/2022,2022,Plant1_Pop Dudu,Field,2022,1.756,0.0111,45,0.532265337,0.01,NA,33,158.1981982
DUDU,6/6/2022,2022,Plant2_Pop Dudu,Field,2022,2.768,0.0166,101,0.230981641,0,NA,41,166.746988
DUDU,6/6/2022,2022,Plant3_Pop Dudu,Field,2022,3.27,0.0221,104,0.47089163,0.01,NA,43,147.9638009
