"Pop","Date","Plant_ID","Loc","Time","Year","L_area","L_weight","Trichomes","Conc","herb_p","fl_m","fl_h","Leaves","Height","SLA"
"ARB",2023-07-28,"ARB-7D","Garden","Late","2023",1.12925,0.006225,58,0.192712920298277,0.1,NA,NA,NA,NA,181.40562248996
"ARB",2023-08-03,"ARB-7D","Garden","Late","2023",1.12925,0.006225,58,0.192712920298277,0.25,NA,NA,66,41,181.40562248996
"ARB",2023-08-07,"ARB-7D","Garden","Late","2023",1.12925,0.006225,58,0.192712920298277,0.05,NA,NA,NA,NA,181.40562248996
"ARB",2023-08-15,"ARB-7D","Garden","Late","2023",1.12925,0.006225,58,0.192712920298277,0.13,NA,NA,NA,NA,181.40562248996
"ARB",2023-05-31,"ARB-7E","Garden","Early","2023",0.759,0.004175,70.25,0.11139367895786,0.02,NA,NA,12,22,181.796407185629
"ARB",2023-06-05,"ARB-7E","Garden","Early","2023",0.759,0.004175,70.25,0.11139367895786,0.2,NA,NA,NA,NA,181.796407185629
"ARB",2023-06-12,"ARB-7E","Garden","Early","2023",0.759,0.004175,70.25,0.11139367895786,0.25,NA,NA,11,22,181.796407185629
"ARB",2023-06-20,"ARB-7E","Garden","Mid","2023",0.759,0.004175,70.25,0.11139367895786,0.28,0,0,NA,NA,181.796407185629
"ARB",2023-06-29,"ARB-7E","Garden","Mid","2023",0.759,0.004175,70.25,0.11139367895786,0.2,NA,NA,27,34,181.796407185629
"ARB",2023-07-03,"ARB-7E","Garden","Mid","2023",0.759,0.004175,70.25,0.11139367895786,0.02,NA,NA,NA,NA,181.796407185629
"ARB",2023-07-10,"ARB-7E","Garden","Mid","2023",0.759,0.004175,70.25,0.11139367895786,0.02,NA,NA,NA,NA,181.796407185629
"ARB",2023-07-17,"ARB-7E","Garden","Late","2023",0.759,0.004175,70.25,0.11139367895786,0.12,NA,NA,49,38,181.796407185629
"ARB",2023-07-28,"ARB-7E","Garden","Late","2023",0.759,0.004175,70.25,0.11139367895786,0.05,NA,NA,NA,NA,181.796407185629
"ARB",2023-08-03,"ARB-7E","Garden","Late","2023",0.759,0.004175,70.25,0.11139367895786,0.35,NA,NA,57,33,181.796407185629
"ARB",2023-08-07,"ARB-7E","Garden","Late","2023",0.759,0.004175,70.25,0.11139367895786,0.18,NA,NA,NA,NA,181.796407185629
"ARB",2023-08-15,"ARB-7E","Garden","Late","2023",0.759,0.004175,70.25,0.11139367895786,0.13,NA,NA,NA,NA,181.796407185629
"ARB",2023-05-31,"ARB-7F","Garden","Early","2023",0.7725,0.004175,101.75,0.242971676886252,0.03,NA,NA,18,18,185.02994011976
"ARB",2023-06-05,"ARB-7F","Garden","Early","2023",0.7725,0.004175,101.75,0.242971676886252,0.03,NA,NA,NA,NA,185.02994011976
"ARB",2023-06-12,"ARB-7F","Garden","Early","2023",0.7725,0.004175,101.75,0.242971676886252,0.02,NA,NA,17,18,185.02994011976
"ARB",2023-06-20,"ARB-7F","Garden","Mid","2023",0.7725,0.004175,101.75,0.242971676886252,0.6,0,0,NA,NA,185.02994011976
"ARB",2023-06-29,"ARB-7F","Garden","Mid","2023",0.7725,0.004175,101.75,0.242971676886252,0.05,NA,NA,32,22,185.02994011976
"ARB",2023-07-03,"ARB-7F","Garden","Mid","2023",0.7725,0.004175,101.75,0.242971676886252,0.05,NA,NA,NA,NA,185.02994011976
"ARB",2023-07-10,"ARB-7F","Garden","Mid","2023",0.7725,0.004175,101.75,0.242971676886252,0.03,NA,NA,NA,NA,185.02994011976
"ARB",2023-07-17,"ARB-7F","Garden","Late","2023",0.7725,0.004175,101.75,0.242971676886252,0.28,NA,NA,54,36,185.02994011976
"ARB",2023-07-28,"ARB-7F","Garden","Late","2023",0.7725,0.004175,101.75,0.242971676886252,0.04,NA,NA,NA,NA,185.02994011976
"ARB",2023-08-03,"ARB-7F","Garden","Late","2023",0.7725,0.004175,101.75,0.242971676886252,0.15,NA,NA,53,38,185.02994011976
"ARB",2023-08-07,"ARB-7F","Garden","Late","2023",0.7725,0.004175,101.75,0.242971676886252,0.15,NA,NA,NA,NA,185.02994011976
"ARB",2023-08-15,"ARB-7F","Garden","Late","2023",0.7725,0.004175,101.75,0.242971676886252,0.13,NA,NA,NA,NA,185.02994011976
