Plant_ID,Pop,Date,Height,Leaves,Phenology,Fl_herm,Fl_male,fruits,Buds,Epitrix_herb,Chew_herb,Mining_herb,Stem_dens,Trichomes,Leaf_Area,Leaf_Weight,Comments
COO-1,COO,6/8/23,20,5,fl,1,0,0,4,10,0.3,0,4,334,0.879,0.0044,"Extensive herbivory damage in population; ""Leaf_Area"" and ""Trichomes"" may be skewed."
COO-2,COO,6/8/23,31,10,fr,1,0,7,4,25,5,0,6,195,1.513,0.007,
COO-3,COO,6/8/23,30,12,fl,1,0,0,26,35,1,0,16,328,1.326,0.007,
COO-4,COO,6/8/23,33,7,fr,3,1,0,8,6,2,0,28,214,0.855,0.0037,
COO-5,COO,6/8/23,22,6,fl,0,1,1,2,10,1,0,8,333,0.657,0.0033,
COO-6,COO,6/8/23,44,6,fl,0,1,0,7,20,5,0,16,249,1.684,0.0086,
COO-7,COO,6/8/23,31,6,fl,0,1,0,6,18,0.5,0,20,223,1.055,0.0046,
COO-8,COO,6/8/23,35,7,fl,2,0,0,12,15,1,0,32,128,0.961,0.0041,
COO-9,COO,6/8/23,35,8,fl,1,0,0,7,13,1,0,24,172,1.413,0.0076,
COO-10,COO,6/8/23,31,7,fl,2,1,0,7,22,6,0,36,132,1.915,0.0094,
COO-11,COO,6/8/23,28,6,fl,2,0,0,11,11,0.2,0,40,176,1.269,0.0063,
COO-12,COO,6/8/23,61,5,fr,1,0,1,8,12,5,0,24,108,1.159,0.0042,
COO-13,COO,6/8/23,31,9,fr,0,1,1,14,13,8,0,30,164,1.531,0.0078,
COO-14,COO,6/8/23,39,8,fl,1,0,0,6,20,3,0,16,232,1.634,0.0084,
COO-15,COO,6/8/23,49,8,b,0,0,0,10,7,0.1,0,28,160,1.58,0.0083,
COO-16,COO,6/8/23,32,6,fl,1,2,0,7,11,3,0,16,172,1.543,0.0066,
COO-17,COO,6/8/23,35,7,fl,1,0,0,7,14,1,0,20,176,1.433,0.0077,
COO-18,COO,6/8/23,24,5,fr,1,0,2,3,12,1,0,20,84,1.006,0.0039,
COO-19,COO,6/8/23,32,9,b,0,0,0,13,12,0,0,16,116,1.218,0.005,
COO-20,COO,6/8/23,30,7,b,0,0,0,13,22,4,0,8,124,1.165,0.006,
COO-21,COO,6/8/23,50,10,fl,0,1,0,20,10,3,0,8,152,1.37,0.0079,
COO-22,COO,6/8/23,44,13,fr,0,0,1,16,13,6,0,16,144,0.792,0.0039,
COO-23,COO,6/8/23,27,5,b,0,0,0,5,20,7,0,4,160,1.399,0.0071,
COO-24,COO,6/8/23,40,8,fr,0,1,2,5,40,6,0,8,156,0.987,0.0062,
COO-25,COO,6/8/23,46,6,fl,1,0,0,5,10,2,0,12,216,1.62,0.011,
COO-26,COO,6/8/23,21,14,fr,3,0,1,8,12,1,0,28,132,1.77,0.0087,
COO-27,COO,6/8/23,25,9,fl,0,1,0,11,11,0,0,52,192,1.481,0.0075,
COO-28,COO,6/8/23,49,8,fl,1,2,0,17,22,5,0,16,116,0.895,0.0046,
COO-29,COO,6/8/23,38,8,fr,1,2,1,18,14,6,0,16,112,1.658,0.0092,
COO-30,COO,6/8/23,59,9,fl,0,1,0,24,13,10,0,12,148,3.031,0.0166,
DUDU-1,DUDU,6/12/23,38,7,fl,0,1,0,3,0,0,0,,108,1.722,0.0111,
DUDU-2,DUDU,6/12/23,34,36,fl,0,6,0,22,0,0.1,0,,100,1.871,0.0119,
DUDU-3,DUDU,6/12/23,30,6,fl,0,1,0,2,0,0,0,,128,1.03,0.0054,
DUDU-4,DUDU,6/12/23,34,42,fl,0,6,0,23,0,0,0,,108,1.263,0.0088,
DUDU-5,DUDU,6/12/23,41,9,fl,0,1,0,9,0,0,0,,72,2.218,0.0109,
DUDU-6,DUDU,6/12/23,21,15,fl,0,1,0,8,0,1,0,,116,1.954,0.0141,
DUDU-7,DUDU,6/12/23,30,11,fl,0,1,0,1,0,1,0,,124,1.247,0.0064,
