Plant_ID,Pop,Date,Height,Leaves,Phenology,Fl_herm,Fl_male,fruits,Buds,Epitrix_herb,Chew_herb,Mining_herb,Stem_dens,Trichomes,Leaf_Area,Leaf_Weight,Comments
BEC-17,BEC,6/25/23,37,4,fl,0,2,0,2,0,30,0,4,144,0.75,0.0035,
BEC-18,BEC,6/25/23,42,8,fl,1,0,0,8,9,10,0,8,136,1.322,0.0084,
BEC-19,BEC,6/25/23,40,5,fl,0,2,0,18,0,12,0,4,96,0.606,0.0026,
BEC-20,BEC,6/25/23,54,6,fl,1,0,1,16,12,14,0,4,124,1.421,0.0088,
BEC-21,BEC,6/25/23,56,7,fr,3,0,1,21,10,5,0,8,140,1.083,0.008,
BEC-22,BEC,6/25/23,46,4,fl,2,0,0,10,4,10,0,4,148,1.929,0.0099,
BEC-23,BEC,6/25/23,41,7,fl,0,1,0,16,11,6,0,12,192,0.531,0.0029,
BEC-24,BEC,6/25/23,35,5,fl,1,0,0,3,9,10,0,12,176,0.778,0.0059,
BEC-25,BEC,6/25/23,40,7,fr,0,1,2,2,12,2,0,20,128,0.798,0.0058,
BEC-26,BEC,6/25/23,38,6,fl,1,0,0,11,20,3,0,8,72,0.69,0.005,
BEC-27,BEC,6/25/23,31,7,fl,1,0,1,6,18,12,0,4,152,1.106,0.0067,
BEC-28,BEC,6/25/23,34,12,fl,1,0,0,5,8,10,0,12,172,0.924,0.0054,
BEC-29,BEC,6/25/23,27,4,fr,0,1,0,7,5,10,0,12,112,1.215,0.0066,
BEC-30,BEC,6/25/23,38,9,fl,1,0,0,11,20,16,0,8,124,1.537,0.0088,
REF-1,REF,6/23/23,52,31,fl,1,0,0,28,0,0.1,0,8,72,3.514,0.0098,
REF-2,REF,6/23/23,37,7,fr,0,1,4,4,0,2,0,8,68,1.974,0.0052,
REF-3,REF,6/23/23,42,5,fr,0,2,1,4,0,8,0,4,60,2.478,0.0096,
REF-4,REF,6/23/23,62,10,fr,0,1,1,2,0,5,0,8,82,2.411,0.0078,
REF-5,REF,6/23/23,46,15,fr,0,2,5,20,0,2,0,24,88,1.748,0.0061,
REF-6,REF,6/23/23,47,10,fr,1,1,1,6,0,2,0,4,52,2.173,0.0081,
REF-7,REF,6/23/23,40,13,fr,1,1,3,24,0,12,0,8,68,1.152,0.0038,
REF-8,REF,6/23/23,36,13,fl,2,0,0,17,0,3,0,16,188,1.883,0.0067,
REF-9,REF,6/23/23,39,6,fl,1,1,0,15,0,6.5,0,4,64,2.537,0.007,
REF-10,REF,6/23/23,67,11,fr,1,4,1,16,0,10,0,8,96,1.99,0.007,
REF-11,REF,6/23/23,34,8,fl,2,0,0,2,0.1,1.5,0,28,116,2.353,0.009,
REF-12,REF,6/23/23,52,5,fl,1,0,0,3,0.1,1,0,16,144,1.321,0.0051,
REF-13,REF,6/23/23,66,15,fl,2,1,0,17,0.1,2,0,8,116,2.01,0.0072,
REF-14,REF,6/23/23,35,13,fl,0,2,3,12,0.5,5,0,12,108,1.275,0.0045,
REF-15,REF,6/23/23,51,6,fl,1,1,0,3,1,4,0,12,128,1.557,0.0065,
REF-16,REF,6/23/23,70,7,fr,0,3,2,5,0,1,0,8,132,1.768,0.0069,
REF-17,REF,6/23/23,55,9,fr,0,1,5,9,0,9,0,8,108,1.788,0.0065,
REF-18,REF,6/23/23,62,14,fr,0,2,5,9,0,5,0,8,116,1.289,0.005,
REF-19,REF,6/23/23,45,9,fr,1,0,2,6,0,5,0,16,124,2.89,0.0115,
REF-20,REF,6/23/23,53,11,fl,0,1,0,9,0.1,2,0,12,144,2.081,0.0074,
REF-21,REF,6/23/23,54,10,fr,2,0,1,20,0.2,4,0,12,172,1.301,0.0041,
REF-22,REF,6/23/23,30,6,fl,0,1,0,3,0,9,0,16,108,1.132,0.0028,
REF-23,REF,6/23/23,44,8,fl,1,2,0,10,0,18,0,8,144,2.163,0.0089,
REF-24,REF,6/23/23,39,10,fr,0,2,1,11,0,0,0,8,192,1.182,0.004,
REF-25,REF,6/23/23,40,8,fr,0,3,1,3,0,5,0,4,116,1.749,0.0062,
REF-26,REF,6/23/23,45,7,fl,1,0,0,7,0,4,0,8,112,1.359,0.0049,
REF-27,REF,6/23/23,63,8,fl,3,0,0,8,0,3,0,4,120,2.237,0.0073,
REF-28,REF,6/23/23,23,12,fl,1,1,0,12,0,10,0,12,144,2.102,0.0077,
REF-29,REF,6/23/23,60,16,fr,1,0,1,18,0,5,0,4,132,1.763,0.0066,
REF-30,REF,6/23/23,43,17,fr,2,3,3,32,0,8,0,8,148,2.785,0.0107,
GRE-1,GRE,6/22/23,47,8,fl,0,2,0,2,8,40,0,12,96,1.424,0.0064,
GRE-2,GRE,6/22/23,40,5,fl,0,2,0,4,3,10,0,16,156,1.076,0.0041,
GRE-3,GRE,6/22/23,60,10,fl,1,0,0,8,18,16,0,16,152,1.271,0.0064,
GRE-4,GRE,6/22/23,44,7,fl,1,1,0,1,24,6,0,4,128,0.516,0.0023,
GRE-5,GRE,6/22/23,57,7,fl,2,0,0,1,20,3,0,4,76,1.206,0.0053,
GRE-6,GRE,6/22/23,56,9,fl,1,0,0,2,32,8,0,8,132,0.737,0.0037,
GRE-7,GRE,6/22/23,51,8,fr,3,0,0,3,18,1,0,8,76,0.798,0.0039,
GRE-8,GRE,6/22/23,57,9,fl,1,1,0,10,27,14,0,4,100,0.742,0.0038,
GRE-9,GRE,6/22/23,54,6,fl,2,0,0,6,13,3,0,8,136,1.448,0.0064,
GRE-10,GRE,6/22/23,61,5,fl,0,2,0,4,9,4,0,10,144,0.593,0.0022,
GRE-11,GRE,6/22/23,57,10,fl,0,1,0,3,10,14,0,16,108,1.132,0.0089,
GRE-12,GRE,6/22/23,66,8,fl,1,2,1,1,9,20,0,8,128,0.72,0.004,
GRE-13,GRE,6/22/23,33,12,fl,0,1,0,12,4,20,0,8,124,0.636,0.0031,
GRE-14,GRE,6/22/23,20,6,fl,1,0,0,2,6,10,0,8,104,0.651,0.0024,
GRE-15,GRE,6/22/23,31,5,fl,2,0,0,4,11,2,0,4,148,1.264,0.0059,
GRE-16,GRE,6/22/23,35,4,fl,1,0,0,3,14,8,0,4,132,1.024,0.0054,
GRE-17,GRE,6/22/23,47,9,fl,1,0,0,12,15,20,0,4,112,1.012,0.0053,
GRE-18,GRE,6/22/23,31,7,fl,0,2,0,1,7,9,0,8,168,0.802,0.0041,
GRE-19,GRE,6/22/23,45,9,fl,0,1,0,4,10,21,0,8,120,1.277,0.0078,
GRE-20,GRE,6/22/23,56,7,fl,1,0,0,11,13,18,0,4,88,1.113,0.0049,
GRE-21,GRE,6/22/23,34,7,fl,1,0,0,1,9,1,0,8,84,1.952,0.0069,
GRE-22,GRE,6/22/23,34,7,fl,1,0,0,6,10,4,0,4,104,1.061,0.0058,
GRE-23,GRE,6/22/23,50,16,fl,1,1,0,12,4,8,0,4,96,0.904,0.0043,
GRE-24,GRE,6/22/23,41,10,fl,1,0,0,6,9,12,0,4,192,1.192,0.007,
GRE-25,GRE,6/22/23,26,7,fl,1,0,0,3,12,6,0,4,124,1.05,0.0054,
GRE-26,GRE,6/22/23,41,7,fl,0,1,0,5,12,10,0,4,112,1.201,0.0063,
GRE-27,GRE,6/22/23,42,4,fl,0,2,0,5,10,20,0,4,132,0.774,0.0033,
GRE-28,GRE,6/22/23,22,6,fl,1,0,0,2,10,9,0,4,88,0.798,0.0033,
GRE-29,GRE,6/22/23,50,8,fl,1,0,0,2,11,10,0,4,76,1.465,0.0065,
GRE-30,GRE,6/22/23,42,6,fl,0,1,0,6,6,18,0,4,204,0.686,0.0036,
