Date,Region,Pop,Plant_ID,Height,Herbivory,Phenology,Fl_herm,Fl_male,Buds,L_area,L_weight,Trichomes,Spines,Roots,Pop_area,Plant_cover,Latitude,Longitude,Collect_Label
Oct-15-2022,Mid,5,3,70,5,Fl,0,0,0,2.128,0.0114,100,6,Yes,100,5,35.010332,-85.364585,Ref-3
Oct-15-2022,Mid,5,4,42,2,Fl,0,0,0,1.597,0.0052,137,11,Yes,100,5,35.010332,-85.364585,Ref-4
Oct-15-2022,Mid,5,5,77,2,V,0,0,0,2.766,0.0081,95,3,Yes,100,5,35.010332,-85.364585,Ref-5
Oct-15-2022,Mid,5,6,83,7,V,0,0,0,2.239,0.0078,86,4,Yes,100,5,35.010332,-85.364585,Ref-6
Oct-15-2022,Mid,5,7,100,1,Fl,0,0,0,2.482,0.0095,92,5,Yes,100,5,35.010332,-85.364585,Ref-7
Oct-15-2022,Mid,5,8,19,10,V,0,0,0,,,,,No,100,5,35.010332,-85.364585,Ref-8
Oct-15-2022,Mid,5,9,55,2,V,0,0,0,2.197,0.0059,82,9,No,100,5,35.010332,-85.364585,Ref-9
Oct-15-2022,Mid,5,10,62,10,Fl,0,0,0,2.395,0.0091,125,7,No,100,5,35.010332,-85.364585,Ref-10
Oct-15-2022,Mid,6,1,77,50,Fl,0,0,0,1.081,0.0053,86,5,Yes,40,7,35.126792,-85.220253,Hix-1
Oct-15-2022,Mid,6,2,56,,Fl,0,0,0,,,,,Yes,40,7,35.126792,-85.220253,Hix-2
Oct-15-2022,Mid,6,3,65,4,Fl,0,0,0,2.419,0.0123,82,6,Yes,40,7,35.126792,-85.220253,Hix-3
Oct-15-2022,Mid,6,4,42,15,Fl,0,0,0,2.374,0.0125,54,12,Yes,40,7,35.126792,-85.220253,Hix-4
Oct-15-2022,Mid,6,5,50,2,Fl,0,0,0,1.09,0.0069,138,12,Yes,40,7,35.126792,-85.220253,Hix-5
Oct-15-2022,Mid,6,6,29,0.5,V,0,0,0,2.388,0.011,141,13,No,40,7,35.126792,-85.220253,Hix-6
